,Equipe,Posse,#Jogada,Quarto,Down,Distance,Linha,Campo,Flag,Falta,Time,Jardas,1st down,3rd down,4th down,3&Out,Turnover,Jogada,QB,# Play,Yds,TD,Int,Inc,FF,#FF,FR,#FR,2-pts,FG,#FG,FG Yds,XP,#XP,TD ST,Sack,#Sack1,#Sack2,TFL,# TFL1,# TFL2,DFL,#DFL,D-FF,#D-FF,D-FR,#D-FR,D-Int,#D-Int,Tackle,#Tackle1,#Tackle2,TD - Def,#TD - Def,Safety,#Safety
0,Oilers,,,1,,,35,D,,,,,,,,,,Kickoff,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tigres,1.0,1.0,1,1.0,10.0,21,D,Sim,False start,Tigres,5.0,, ,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tigres,1.0,2.0,1,1.0,15.0,16,D,,,,,, ,,,,Corrida,11.0,31.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tigres,1.0,3.0,1,2.0,16.0,15,D,,,,,, ,,,,Corrida,11.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tigres,1.0,4.0,1,3.0,16.0,15,D,,,,,,Sim,,,,Passe,11.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tigres,1.0,,1,4.0,16.0,15,D,,,,,, ,,Sim,,Punt,,11.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Oilers,1.0,1.0,1,1.0,10.0,20,A,,,,,Sim, ,,,,Corrida,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,10.0,,,,,
7,Oilers,1.0,2.0,1,1.0,10.0,9,A,,,,,, ,,,,Corrida,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,51.0,3.0,,,,
8,Oilers,1.0,3.0,1,2.0,4.0,5,A,,,,,, ,,,,Corrida,,,5.0,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Oilers,1.0,,1,,,2,A,Sim,False start,Oilers,5.0,, ,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Oilers,1.0,,1,,,7,A,,,,,, ,,,,XP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Oilers,,,1,,,35,D,,,,,,,,,,Kickoff,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tigres,2.0,1.0,1,1.0,10.0,38,D,,,,,, ,,,,Corrida,11.0,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tigres,2.0,2.0,1,2.0,5.0,43,D,,,,,, ,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tigres,2.0,3.0,1,3.0,5.0,43,D,,,,,,Sim,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tigres,2.0,,1,4.0,5.0,43,D,,,,,, ,,Sim,,Punt,,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Oilers,2.0,1.0,1,1.0,10.0,47,D,,,,,, ,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Oilers,2.0,2.0,1,2.0,10.0,47,D,,,,,Sim, ,,,,Corrida,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,3.0,,,,,
18,Oilers,2.0,3.0,1,1.0,10.0,42,A,,,,,, ,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Oilers,2.0,4.0,1,2.0,10.0,42,A,,,,,, ,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Oilers,2.0,5.0,1,3.0,10.0,42,A,,,,,,Sim,,,,Passe,,,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,3.0,,,,,
21,Oilers,2.0,,1,4.0,10.0,42,A,,,,,, ,,,,Punt,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Tigres,3.0,1.0,1,1.0,10.0,20,D,,,,,, ,,,,Corrida,11.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tigres,3.0,2.0,1,2.0,10.0,20,D,,,,,, ,,,,Corrida,11.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tigres,3.0,3.0,1,3.0,4.0,26,D,,,,,Sim,Sim,,,,Passe,11.0,84.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tigres,3.0,4.0,2,1.0,10.0,49,D,,,,,, ,,,,Corrida,11.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Tigres,3.0,5.0,2,2.0,10.0,49,D,,,,,, ,,,,Corrida,11.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Tigres,3.0,6.0,2,3.0,5.0,46,A,,,,,,Sim,,,,Passe,11.0,31.0,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Tigres,3.0,,2,4.0,5.0,46,A,,,,,, ,,,,Punt,,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Oilers,3.0,1.0,2,1.0,10.0,34,D,,,,,, ,,,,Corrida,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,99.0,,,,,
30,Oilers,3.0,2.0,2,2.0,8.0,36,D,,,,,, ,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Oilers,3.0,3.0,2,3.0,8.0,36,D,,,,,Sim,Sim,,,,Passe,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,30.0,,,,,
32,Oilers,3.0,4.0,2,1.0,10.0,20,A,,,,,, ,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Oilers,3.0,5.0,2,2.0,10.0,20,A,,,,,, ,,,,Corrida,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,51.0,64.0,,,,
34,Oilers,3.0,6.0,2,3.0,10.0,20,A,,,,,,Sim,,,,Passe,,,20.0,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Oilers,3.0,7.0,2,,,2,A,,,,,, ,,,,2-PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Oilers,,,2,,,35,D,Sim,Cond. Antidesportiva,Tigres,15.0,, ,,,,Kickoff,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Tigres,4.0,1.0,2,1.0,10.0,27,D,Sim,PI,Oilers,15.0,Sim, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tigres,4.0,2.0,2,1.0,10.0,42,D,,,,,Sim, ,,,,Passe,11.0,87.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tigres,4.0,3.0,2,1.0,10.0,35,A,Sim,Facemask,Oilers,15.0,Sim, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Tigres,4.0,4.0,2,1.0,10.0,20,A,,,,,, ,,,,Passe,11.0,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Oilers,4.0,1.0,2,1.0,10.0,16,A,,,,,, ,,,,Sack,,,,,,,,,,,,,,,,,,Sim,99.0,,,,,,,,,,,,,,,,,,,
42,Oilers,4.0,2.0,2,2.0,11.0,15,A,,,,,, ,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,Sim,30.0,,,,,,,,,,,,,
