,Equipe,Posse,#Jogada,Quarto,Down,Distance,Linha,Campo,Flag,Falta,Time,Jardas,1st down,3rd down,4th down,3&Out,Turnover,Jogada,QB,# Play,Yds,TD,Int,Inc,FF,#FF,FR,#FR,2-pts,FG,#FG,FG Yds,XP,#XP,TD ST,Sack,#Sack1,#Sack2,TFL,# TFL1,# TFL2,DFL,#DFL,D-FF,#D-FF,D-FR,#D-FR,D-Int,#D-Int,Tackle,#Tackle1,#Tackle2,TD - Def,#TD - Def,Safety,#Safety
0,Tigres,,,1.0,,,25,D,,,,,,,,,,Kickoff,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Capitains,1.0,1.0,1.0,1.0,10.0,25,D,,,,,,,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Capitains,1.0,2.0,1.0,2.0,10.0,25,D,Sim,False start,Capitains,5.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Capitains,1.0,3.0,1.0,2.0,15.0,20,D,,,,,,,,,,Corrida,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,3.0,97.0,,,,
4,Capitains,1.0,4.0,1.0,3.0,13.0,22,D,,,,,,Sim,,,,Sack,,,,,,,,,,,,,,,,,,Sim,55.0,,,,,,,,,,,,,,,,,,,
5,Capitains,,,1.0,4.0,18.0,17,D,,,,,,,,Sim,,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tigres,1.0,1.0,1.0,1.0,10.0,20,A,,,,,,,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tigres,1.0,2.0,1.0,2.0,10.0,20,A,Sim,Offside,Capitains,5.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tigres,1.0,3.0,1.0,2.0,5.0,15,A,,,,,,,,,,Corrida,11.0,31.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Tigres,1.0,4.0,1.0,3.0,3.0,13,A,,,,,Sim,Sim,,,,Corrida,11.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Tigres,1.0,5.0,1.0,1.0,8.0,8,A,Sim,False start,Capitains,4.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tigres,1.0,6.0,1.0,1.0,4.0,4,A,,,,,,,,,,Corrida,11.0,32.0,4.0,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tigres,1.0,,1.0,,,2,A,,,,,,,,,,XP,,,,,,,,,,,,,,,Sim,36.0,,,,,,,,,,,,,,,,,,,,,,
13,Tigres,,,1.0,,,25,D,,,,,,,,,,Kickoff,,36.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Capitains,2.0,1.0,1.0,1.0,10.0,24,D,,,,,,,,,,Sack,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Capitains,2.0,2.0,1.0,2.0,10.0,24,D,,,,,,,,,,Corrida,,,1.0,,,,,,,,,,,,,,,Sim,3.0,99.0,,,,,,,,,,,,Sim,64.0,29.0,,,,
16,Capitains,2.0,3.0,1.0,3.0,9.0,25,D,Sim,PI,Tigres,15.0,Sim,Sim,,,,Falta,,,,,,,,,,,,,,,,,,Sim,59.0,99.0,,,,,,,,,,,,,,,,,,
17,Capitains,2.0,4.0,1.0,1.0,10.0,40,D,,,,,,,,,,Sack,,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Capitains,2.0,5.0,1.0,2.0,20.0,30,D,Sim,,Capitains,8.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
