,Equipe,Posse,#Jogada,Quarto,Down,Distance,Linha,Campo,Flag,Falta,Time,Jardas,1st down,3rd down,4th down,3&Out,Turnover,Jogada,QB,# Play,Yds,TD,Int,Inc,FF,#FF,FR,#FR,2-pts,FG,#FG,FG Yds,XP,#XP,TD ST,Sack,#Sack1,#Sack2,TFL,# TFL1,# TFL2,DFL,#DFL,D-FF,#D-FF,D-FR,#D-FR,D-Int,#D-Int,Tackle,#Tackle1,#Tackle2,TD - Def,#TD - Def,Safety,#Safety
0,America,,,1,,,35,D,,,,,,,,,,Kickoff,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tigres,1.0,1.0,1,1.0,10.0,35,D,,,,,,,,,,Corrida,11.0,32.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tigres,1.0,2.0,1,2.0,15.0,30,D,,,,,,,,,,Corrida,11.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tigres,1.0,3.0,1,3.0,8.0,37,D,,,,,Sim,Sim,,,,Corrida,11.0,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tigres,1.0,4.0,1,1.0,10.0,46,D,,,,,,,,,,Corrida,11.0,32.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tigres,1.0,5.0,1,2.0,1.0,43,A,Sim,Formação ilegal,Tigres,5.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tigres,1.0,6.0,1,2.0,6.0,48,A,,,,,,,,,,Passe,11.0,32.0,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tigres,1.0,7.0,1,3.0,6.0,48,A,,,,,,Sim,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tigres,1.0,,1,4.0,6.0,48,A,,,,,,,,,,Punt,,11.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,America,1.0,1.0,1,1.0,10.0,25,D,,,,,,,,,,Corrida,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,59.0,,,,,
10,America,1.0,2.0,1,2.0,6.0,29,D,,,,,,,,,,Corrida,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,99.0,,,,,
11,America,1.0,3.0,1,3.0,1.0,34,D,,,,,Sim,Sim,,,,Corrida,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,54.0,,,,,
12,America,1.0,4.0,1,1.0,10.0,36,D,,,,,,,,,,Passe,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,29.0,,,,,
13,America,1.0,5.0,1,2.0,7.0,39,D,,,,,Sim,,,,,Corrida,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,America,1.0,6.0,1,1.0,10.0,40,A,,,,,,,,,,Corrida,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,59.0,,,,,
15,America,1.0,7.0,1,2.0,4.0,34,A,Sim,Offside,Tigres,5.0,Sim,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,America,1.0,8.0,1,1.0,10.0,29,A,,,,,,,,,,Corrida,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,7.0,,,,,
17,America,1.0,9.0,1,2.0,8.0,27,A,,,,,,,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,America,1.0,10.0,1,3.0,8.0,27,A,Sim,Holding,America,10.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,America,1.0,11.0,1,3.0,18.0,37,A,,,,,,Sim,,,,Corrida,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,3.0,,,,,
20,America,1.0,12.0,1,4.0,14.0,33,A,,,,,,,Sim,,Sim,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Tigres,2.0,1.0,2,1.0,10.0,33,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
